URL,Last detected
https://futurism.com/video-intern-brooklyn-ny?amp,2022-11-01
https://futurism.com/neoscope/researchers-create-yeast-that-synthesizes-thc-and-cbd?amp,2022-11-01
https://futurism.com/tags/covid19/page/4?amp,2022-11-01
https://futurism.com/neoscope/microplastics-human-breastmilk?amp,2022-11-01
https://futurism.com/the-byte/watch-tesla-self-driving-steer-toward-oncoming-highway-traffic?amp,2022-11-01
https://futurism.com/measuring-the-cosmos-how-we-weigh-stars?amp,2022-11-01
https://futurism.com/neoscope/tags/martin-shkreli?amp,2022-11-01
https://futurism.com/the-byte/ultrasound-machines-100?amp,2022-11-01
https://futurism.com/climate-change-cause-todays-children-earn-less-adults?amp,2022-11-01
https://futurism.com/ubi-universal-basic-income-alternative?amp,2022-11-01
https://futurism.com/ethereum-could-be-using-more-than-a-countrys-worth-of-electricity?amp,2022-11-01
https://futurism.com/spacex-tank-treads?amp,2022-11-01
https://futurism.com/the-byte/governor-journalist-hacker-html?amp,2022-11-01
https://futurism.com/climate-change-could-wipe-out-one-third-of-parasite-species-by-2070?amp,2022-11-01
https://futurism.com/the-byte/tags/coronal-holes?amp,2022-11-01
https://futurism.com/earth-just-passed-410-ppm-carbon-dioxide-level-for-the-first-time-in-human-history?amp,2022-11-01
https://futurism.com/tags/pluto/page/2?amp,2022-10-31
https://futurism.com/the-byte/leaking-radiation-europe?amp,2022-10-31
https://futurism.com/the-byte/strange-plastic-crust-spreading?amp,2022-10-31
https://futurism.com/neoscope/tags/leather?amp,2022-10-31
https://futurism.com/robot-print-64000-house-little-eight-hours?amp,2022-10-31
https://futurism.com/expert-human-immortality-could-be-acquired-through-ai?amp,2022-10-31
https://futurism.com/unexplained-tug-on-cassinis-orbit-may-betray-the-long-reach-of-planet-nine?amp,2022-10-31
https://futurism.com/cleaning-car-exhaust-easier?amp,2022-10-31
https://futurism.com/tags/octopus?amp,2022-10-31
https://futurism.com/hurricanes-getting-more-severe-need-whole-new-category-describe-them?amp,2022-10-31
https://futurism.com/the-byte/tags/thc?amp,2022-10-31
https://futurism.com/neoscope/12-amazing-unsettling-historical-medical-images?amp,2022-10-31
https://futurism.com/dian-fossey-a-scientist-to-remember?amp,2022-10-31
https://futurism.com/images-london-evolution-2000-years?amp,2022-10-31
https://futurism.com/the-byte/spacex-employee-horribly-injured?amp,2022-10-31
https://futurism.com/tags/artificial-intelligence?amp,2022-10-31
https://futurism.com/neoscope/johnny-knoxville-brain-damage?amp,2022-10-31
https://futurism.com/electrical-stimulation-can-effectively-restore-movement-in-paralyzed-limbs?amp,2022-10-31
https://futurism.com/the-age-of-ai-what-you-need-to-know-to-prepare-for-synthetic-intelligence?amp,2022-10-31
https://futurism.com/the-byte/military-swarming-attack-drones-enemy-aircraft?amp,2022-10-31
https://futurism.com/the-byte/nasas-mars-helicopter-online-sent-back-photo?amp,2022-10-31
https://futurism.com/cell-free-crispr-cpf1?amp,2022-10-31
https://futurism.com/water-battery-change-way-harness-energy-sun?amp,2022-10-30
https://futurism.com/videos/pal-v-liberty-flying-car?amp,2022-10-30
https://futurism.com/the-byte/underwater-data-centers-microsoft?amp,2022-10-30
https://futurism.com/due-to-human-impact-the-earth-is-now-considered-a-hybrid-planet?amp,2022-10-30
https://futurism.com/author/bradj/page/7?amp,2022-10-30
https://futurism.com/easily-keep-your-email-private-with-the-highly-rated-startmail?amp,2022-10-30
https://futurism.com/the-byte/tags/rocosmos?amp,2022-10-30
https://futurism.com/keep-your-cannabis-secure-safe-and-organized-with-15-off-stori?amp,2022-10-30
https://futurism.com/chris-hadfield-we-should-settle-on-the-moon-before-mars?amp,2022-10-30
https://futurism.com/a-doctor-claims-to-have-found-a-cure-for-a-deadly-disease-that-impacts-millions?amp,2022-10-30
https://futurism.com/water-bears-could-one-day-outlive-everything-except-the-sun-itself?amp,2022-10-30
https://futurism.com/ivf-northern-white-rhino-extinct?amp,2022-10-30
https://futurism.com/googles-ai-is-a-new-paradigm-that-unites-humans-and-machines?amp,2022-10-30
https://futurism.com/virtual-reality-film-experience-received-first-oscar-vr?amp,2022-10-30
https://futurism.com/transplants-of-genetically-modified-pig-organs-for-humans-could-happen-within-two-years?amp,2022-10-30
https://futurism.com/at-home-lab-tests-that-use-data-to-measure-sleep-stress-energy-and-diet?amp,2022-10-30
https://futurism.com/the-byte/james-webb-pillars-of-creation?amp,2022-10-30
https://futurism.com/spoiler-alert-blockchain-is-about-far-more-than-just-crypto?amp,2022-10-30
https://futurism.com/autonomous-cars-driving-our-streets-welcome-2018?amp,2022-10-30
https://futurism.com/the-byte/zuck-metaverse-singularity?amp,2022-10-30
https://futurism.com/fda-approves-first-prescription-video-game?amp,2022-10-30
https://futurism.com/expert-predicts-bitcoin-will-be-worth-up-to-20000-in-the-next-three-years?amp,2022-10-30
https://futurism.com/videos/2015-breakthrough-prize-ceremony?amp,2022-10-30
https://futurism.com/the-byte/zuckerbergs-metaverse-legs-executives?amp,2022-10-30
https://futurism.com/people-attacking-driverless-cars-california?amp,2022-10-30
https://futurism.com/neoscope/tags/compound-516?amp,2022-10-30
https://futurism.com/when-will-we-have-a-cure-for-all-forms-of-cancer?amp,2022-10-30
https://futurism.com/how-do-we-regulate-research-that-could-be-used-for-evil?amp,2022-10-30
https://futurism.com/eastern-puma-declared-extinct?amp,2022-10-30
https://futurism.com/silk-spun-by-graphene-fed-spiders-is-one-of-the-strongest-materials-on-earth?amp,2022-10-30
https://futurism.com/what-would-failed-falcon-heavy-launch-mean-spacex?amp,2022-10-30
https://futurism.com/a-faster-internet-terabit-networking-was-just-successfully-tested?amp,2022-10-30
https://futurism.com/scientists-modify-viruses-with-crispr-to-kill-antibiotic-resistant-bacteria?amp,2022-10-30
https://futurism.com/the-byte/nasa-asteroid-dart-twin-tails?amp,2022-10-30
https://futurism.com/the-byte/tags/snake?amp,2022-10-30
https://futurism.com/researchers-have-just-discovered-the-tiniest-star-known-to-science?amp,2022-10-30
https://futurism.com/double-face-transplant-surgery?amp,2022-10-30
https://futurism.com/scientists-create-ingredients-life-nuked-comet?amp,2022-10-30
https://futurism.com/blockchain-company-gives-out-money-begs?amp,2022-10-30
https://futurism.com/googles-ai-fight-club-will-train-systems-to-defend-against-future-cyberattacks?amp,2022-10-30
https://futurism.com/watch-your-mouth-googles-deepmind-ai-can-outperform-professional-lip-readers?amp,2022-10-30
https://futurism.com/major-firm-announces-its-replacing-its-employees-with-a-i?amp,2022-10-30
https://futurism.com/google-is-adding-the-power-of-augmented-reality-to-your-smartphone?amp,2022-10-30
https://futurism.com/worlds-first-fully-solar-powered-train-left-station?amp,2022-10-30
https://futurism.com/elon-musk-is-officially-sending-humans-to-mars-in-2024?amp,2022-10-30
https://futurism.com/future-quantum-computer?amp,2022-10-30
https://futurism.com/oxford-scientists-suggest-that-aliens-arent-extinct-just-hibernating?amp,2022-10-30
https://futurism.com/elon-musk-almost-all-cars-produced-will-be-autonomous-in-10-years?amp,2022-10-30
https://futurism.com/pakistan-underwater-flooding-climate-environment?amp,2022-10-30
https://futurism.com/study-reveals-how-the-brain-creates-maps-to-help-us-navigate-familiar-locations?amp,2022-10-30
https://futurism.com/scientists-just-created-stunning-warped-worlds-in-virtual-reality?amp,2022-10-30
https://futurism.com/the-byte/ai-anime-character?amp,2022-10-30
https://futurism.com/neoscope/weed-wrecks-vision-research?amp,2022-10-30
https://futurism.com/the-byte/tags/vrchat?amp,2022-10-30
https://futurism.com/robots-are-preparing-to-fill-200000-vacant-construction-jobs?amp,2022-10-29
https://futurism.com/mars-water-may-boiling?amp,2022-10-29
https://futurism.com/a-galaxy-5-billion-light-years-away-just-taught-us-something-new-about-the-universe?amp,2022-10-29
https://futurism.com/triboelectric-charging-gadgets-body-movement?amp,2022-10-29
https://futurism.com/could-an-ai-ever-be-elected-president?amp,2022-10-29
https://futurism.com/tags/swatting?amp,2022-10-29
https://futurism.com/contribute?amp,2022-10-29
https://futurism.com/fully-electric-tesla-canals-set-make-maiden-voyage-summer?amp,2022-10-29
https://futurism.com/nasa-is-finally-going-to-wake-up-the-new-horizons-spacecraft?amp,2022-10-29
https://futurism.com/these-six-startups-from-y-combinators-demo-day-1-are-ready-to-transform-our-world?amp,2022-10-29
https://futurism.com/omnidirectional-virtual-reality-treadmill-to-go-on-sale-soon?amp,2022-10-29
https://futurism.com/sports-cheating-gene-doping?amp,2022-10-29
https://futurism.com/new-report-claims-ubi-would-grow-the-u-s-economy-by-2-5-trillion?amp,2022-10-29
https://futurism.com/neoscope/memory-propranolol-therapy?amp,2022-10-29
https://futurism.com/a-breakthrough-ai-can-now-predict-which-babies-will-develop-autism?amp,2022-10-28
https://futurism.com/this-robot-works-500-faster-than-humans-and-it-puts-thousands-of-jobs-at-risk?amp,2022-10-28
https://futurism.com/spacex-competitor-blue-origin-reveals-its-massive-new-rocket-engine?amp,2022-10-28
https://futurism.com/neoscope/getting-sleep-but-still-exhausted-science-says-youre-not-alone?amp,2022-10-28
https://futurism.com/videos/oxfords-new-software-lets-autonomous-vehicles-learn?amp,2022-10-28
https://futurism.com/singularity-countdown-future-affiliate?amp,2022-10-28
https://futurism.com/leaked-emails-appear-to-instruct-usda-staff-not-to-use-climate-change-and-related-terms?amp,2022-10-28
https://futurism.com/study-of-111-deceased-nfl-players-brains-reveals-110-had-the-degenerative-disease-cte?amp,2022-10-28
https://futurism.com/the-byte/analysts-mark-zuckerberg-error?amp,2022-10-27
https://futurism.com/neoscope/lab-on-a-chip-wearable-technology-could-help-detect-disease?amp,2022-10-27
https://futurism.com/the-byte/elon-musk-semi-rollout-this-year?amp,2022-10-27
https://futurism.com/young-blood-combat-aging-thanks-just-one-protein?amp,2022-10-27
https://futurism.com/telescope-upgrades-will-allow-scientists-to-see-13-billion-years-into-the-universes-past?amp,2022-10-27
https://futurism.com/2d-graphene-islands-future-device-fabrication?amp,2022-10-27
https://futurism.com/starship-travel-mars-dozen?amp,2022-10-27
https://futurism.com/lg-unveils-worlds-fastest-wireless-charger-fast-wired-charging?amp,2022-10-27
https://futurism.com/tags/sls/page/2?amp,2022-10-27
https://futurism.com/neoscope/woman-gives-birth-tesla-nyc-traffic?amp,2022-10-27
https://futurism.com/a-clever-new-hypothesis-could-explain-the-elusive-nature-of-dark-matter?amp,2022-10-27
https://futurism.com/james-webb-first-direct-image-exoplanet?amp,2022-10-27
https://futurism.com/life-may-have-emerged-on-earth-earlier-than-we-previously-thought?amp,2022-10-27
https://futurism.com/a-dutch-study-claims-to-project-the-maximum-human-lifespan?amp,2022-10-27
https://futurism.com/neoscope/tags/cosmic-microwave-background-radiation?amp,2022-10-27
https://futurism.com/neoscope/tags/masturbation?amp,2022-10-27
https://futurism.com/new-computer-code-sheds-light-on-early-universe?amp,2022-10-27
https://futurism.com/tags/bill-gates/page/2?amp,2022-10-27
https://futurism.com/videos/science-fiction-becomes-science-fact-comparing-jules-verne-to-apollo-11?amp,2022-10-27
https://futurism.com/neoscope/blind-vision-gene-hacking?amp,2022-10-27
https://futurism.com/medical-first-doctor-performs-open-heart-surgery-street?amp,2022-10-27
https://futurism.com/author/lizzy-briskin?amp,2022-10-27
https://futurism.com/calculations-fusion-energy-reality?amp,2022-10-27
https://futurism.com/tesla-returns-autopilot-features-outrage?amp,2022-10-27
https://futurism.com/tech-may-widen-the-gap-between-rich-and-poor?amp,2022-10-27
https://futurism.com/fake-meat-thanksgiving?amp,2022-10-27
https://futurism.com/teslas-new-deadline-500000-cars-year-2018-two-years-sooner-planned?amp,2022-10-27
https://futurism.com/hydrogen-fuel-could-become-a-viable-energy-alternative-thanks-to-this-aluminum-alloy?amp,2022-10-27
https://futurism.com/the-digest-hackers-are-stealing-sensitive-documents-from-the-u-s-military-and-selling-them?amp,2022-10-27
https://futurism.com/the-byte/riaa-ai-music-generators?amp,2022-10-27
https://futurism.com/the-byte/tags/hurricane-ian?amp,2022-10-27
https://futurism.com/author/aylin?amp,2022-10-27
https://futurism.com/in-science-there-are-no-alternative-facts?amp,2022-10-27
https://futurism.com/climate-change-going-drive-thousands-refugees-cooler-countries?amp,2022-10-27
https://futurism.com/the-byte/ai-spot-fake-news?amp,2022-10-27
https://futurism.com/virgin-orbit-dropped-rocket-jumbo-jet?amp,2022-10-27
https://futurism.com/the-ventifresh-eco-uses-nasa-inspired-tech-to-eliminate-odor-and-airborne-germs?amp,2022-10-27
https://futurism.com/videos/reimagining-future-finance-fluidity?amp,2022-10-27
https://futurism.com/neoscope/tags/france?amp,2022-10-27
https://futurism.com/neoscope/ice-bucket-challenge-als-medicine?amp,2022-10-27
https://futurism.com/apple-just-got-approved-to-test-its-autonomous-cars-on-real-roads?amp,2022-10-27
https://futurism.com/app-karaoke-speaking-new-languages?amp,2022-10-27
https://futurism.com/prosthetic-memory-system-electrode-wait?amp,2022-10-27
https://futurism.com/plastic-eating-caterpillars-could-help-bring-an-end-to-pollution?amp,2022-10-27
https://futurism.com/scientists-invent-a-new-steel-as-strong-as-titanium?amp,2022-10-27
https://futurism.com/the-byte/tags/monkey?amp,2022-10-27
https://futurism.com/the-byte/floyd-mayweather-bunny-nfts?amp,2022-10-27
https://futurism.com/neoscope/tags/amy-webb?amp,2022-10-27
https://futurism.com/deepfake-footage-new-york-cubist-painting?amp,2022-10-27
https://futurism.com/images/the-evolution-of-human-understanding-of-the-universe-infographic?amp,2022-10-27
https://futurism.com/elon-musk-starship-next-month?amp,2022-10-27
https://futurism.com/covid-survivors-memory-loss-brain-fog?amp,2022-10-27
https://futurism.com/flying-cars-tethered-power-lines?amp,2022-10-27
https://futurism.com/crazy-high-arctic-temperatures?amp,2022-10-27
https://futurism.com/russia-sending-actor-space-before-tom-cruise?amp,2022-10-27
https://futurism.com/what-we-can-learn-from-finlands-basic-income-experiment?amp,2022-10-27
https://futurism.com/genetically-modified-algae-key-tomorrows-bio-solar-cells?amp,2022-10-27
https://futurism.com/neoscope/urologist-vasectomy-rivian-truck?amp,2022-10-26
https://futurism.com/scientist-speechless-opening-hayabusa-2-asteroid-samples?amp,2022-10-26
https://futurism.com/neoscope/who-chief-appalled-hoarding-covid-vaccines?amp,2022-10-26
https://futurism.com/back-up-everything-in-your-life-with-10tb-of-cloud-storage-thats-95-off?amp,2022-10-26
https://futurism.com/the-byte/tags/messier-87?amp,2022-10-26
https://futurism.com/the-byte/tags/stardust?amp,2022-10-26
https://futurism.com/tags/flying-car/page/2?amp,2022-10-26
https://futurism.com/the-byte/ford-announces-petrol-fragrance?amp,2022-10-26
https://futurism.com/this-puzzle-could-reveal-the-key-to-human-consciousness?amp,2022-10-26
https://futurism.com/neoscope/psychedelic-church-oakland-police-lawsuit?amp,2022-10-26
https://futurism.com/apple-founder-says-tesla-not-apple-will-create-the-next-breakthrough-technology?amp,2022-10-26
https://futurism.com/astronaut-spacex-ride-not-smooth-space-shuttle?amp,2022-10-26
https://futurism.com/theres-a-100-million-plan-to-make-a-synthetic-spinal-cord-to-end-paralysis?amp,2022-10-26
https://futurism.com/tags/international-space-station/page/15?amp,2022-10-26
https://futurism.com/neoscope/tags/big-tech?amp,2022-10-26
https://futurism.com/spacex-just-laid-out-a-plan-to-give-everyone-internet-access?amp,2022-10-26
https://futurism.com/the-byte/tags/helical-engine?amp,2022-10-26
https://futurism.com/the-byte/tags/turkey?amp,2022-10-26
https://futurism.com/the-byte/tags/mammals?amp,2022-10-26
https://futurism.com/neoscope/scientists-genetic-mutations-every-astronaut-blood-sample?amp,2022-10-26
https://futurism.com/the-byte/korean-artificial-sun-fusion-reactor-sets-world-record?amp,2022-10-25
https://futurism.com/videos/here-are-credit-card-sized-battery-packs?amp,2022-10-25
https://futurism.com/nasa-head-slams-united-states-for-shameful-space-junk?amp,2022-10-25
https://futurism.com/earthquake-swarm-shakes-mount-st-helens?amp,2022-10-24
https://futurism.com/epa-low-doses-toxins-healthy?amp,2022-10-24
https://futurism.com/black-holes-to-merge-in-100000-years-in-an-explosion-to-rival-100-million-supernovae?amp,2022-10-24
